Player,%1stServePointsWon,%2ndServePointsWon,%ServiceGamesWon,%1st Serve Return Points Won,%2nd Serve Return Points Won,%Return Games Won,%Breaks Points Converted,%BreaksPointsSaved,%TieBreaks Won,%AvgWinLoss
Alejandro Davidovich Fokina,65.8,51.9,74.7,32.0,51.2,27.7,41.9,57.6,36.8,58.8
Alex Molcan,67.3,52.5,75.2,28.9,51.6,23.2,40.5,58.5,58.8,33.3
Dusan Lajovic,65.9,50.7,73.6,29.7,49.8,21.1,35.8,58.2,58.3,58.3
Botic Van De Zandschulp,70.4,46.3,75.3,31.9,49.7,24.5,40.8,61.8,68.2,53.8
Alex De Minaur,69.7,50.8,77.6,33.7,53.0,29.4,43.3,61.3,52.6,70.6
Mikael Ymer,63.5,50.3,71.4,34.9,51.0,29.3,41.6,54.4,30.8,42.899998
Francisco Cerundolo,67.0,49.4,74.8,32.9,51.1,26.0,39.8,61.7,57.1,50.0
David Goffin,70.1,49.1,74.2,32.3,49.8,25.9,40.3,60.1,44.4,44.4
Aslan Karatsev,69.4,48.6,74.3,29.5,47.8,20.4,42.4,56.9,44.4,37.5
Cristian Garin,66.6,48.5,71.9,31.2,48.2,24.2,37.9,59.2,45.5,50.0
Pedro Martinez,63.7,50.2,70.6,28.8,51.3,21.9,36.0,59.1,38.9,36.399998
Joao Sousa,67.2,47.2,71.5,29.9,48.2,19.8,34.6,56.0,26.7,20.0
Federico Coria,63.1,48.9,67.8,34.1,50.8,28.3,43.6,52.5,22.2,36.399998
Jaume Munar,66.9,44.6,69.3,33.8,47.7,25.4,41.5,54.7,33.3,36.399998
Bernabe Zapata Miralles,63.5,48.0,67.9,34.2,52.3,31.0,47.8,52.8,10.0,53.8
Diego Schwartzman,61.8,47.7,67.5,33.2,52.4,27.7,41.8,58.7,36.8,22.2
